gene,entry.score
ATP6AP2,9
ATP6V0D1,6.75
BARHL2,6.75
CLIC4,5.6
PEPD,5.25
NTSR1,5.25
AIG1,5.25
KRTCAP2,5
C14orf109,4.5
IFIT5,2.5
STARD5,2.5
RPL13A,2.5
RAB10,2.4
MFAP1,2
IRF2,2
PGD,2
SLC1A3,2
FKBP8,2
TRIM28,1.5
PTPRN,1
BUB3,1
LRP1B,0.8
