"","hgnc_symbol","entrez_id"
"1552680_a_at","CASC5","57082"
"1552684_a_at","SENP8","123228"
"1552685_a_at","GRHL1","29841"
"1552686_at","CNBD2","140894"
"1552689_at","CASKIN1","57524"
"1552690_a_at","CACNA2D4","93589"
"1552691_at","ARL11","115761"
"1552694_at","SLC2A13","114134"
"1552696_at","NIPA1","123606"
"1552698_at","TUBA3FP","113691"
"1552701_a_at","CARD16","114769"
"1552705_at","DUSP19","142679"
"1552711_a_at","CYB5D1","124637"
"1552712_a_at","NMNAT2","23057"
"1552713_a_at","SLC4A1","6521"
"1552714_at","CREG2","200407"
"1552715_a_at","RXFP1","59350"
"1552716_at","SPEF2","79925"
"1552717_s_at","CEP170P1","645455"
"1552721_a_at","FGF1","2246"
"1552722_at","ARPP21","10777"
"1552724_at","RHOXF1","158800"
"1552725_s_at","ADAMTS17","170691"
"1552729_at","SNHG7","84973"
"1552730_at","DHH","50846"
"1552731_at","ABRA","137735"
"1552733_at","KLHDC1","122773"
"1552736_a_at","NETO1","81832"
"1552737_s_at","WWP2","11060"
"1552738_a_at","ST7L","54879"
"1552740_at","C2orf15","150590"
"1552742_at","KCNH8","131096"
"1552745_at","SLCO6A1","133482"
"1552747_a_at","PP2D1","151649"
"1552749_a_at","CLIC6","54102"
"1552750_at","CIB3","117286"
"1552752_a_at","CADM2","253559"
"1552755_at","C9orf66","157983"
"1552758_at","HDAC9","9734"
"1552761_at","SLC16A11","162515"
"1552763_at","TMEM67","91147"
"1552766_at","HS6ST2","90161"
"1552768_at","CAMKK1","84254"
"1552769_at","ZNF625","90589"
"1552770_s_at","ZNF563","147837"
"1552771_a_at","LIN9","286826"
"1552772_at","CLEC4D","338339"
"1552774_a_at","SLC25A27","9481"
"1552775_at","GPRC6A","222545"
"1552777_a_at","RAET1E","135250"
"1552779_a_at","SLC44A5","204962"
"1552782_at","LRRC37BP1","147172"
"1552783_at","ZNF417","147687"
"1552785_at","ZNF781","163115"
"1552787_at","HELB","92797"
"1552789_at","SEC62","7095"
"1552791_a_at","TRDN","10345"
"1552792_at","SOCS4","122809"
"1552793_at","C8orf31","286122"
"1552794_a_at","ZNF547","284306"
"1552796_a_at","SIM1","6492"
"1552797_s_at","PROM2","150696"
"1552798_a_at","TLR4","7099"
"1552799_at","TSNARE1","203062"
"1552801_at","PRKRA","8575"
"1552803_a_at","STMN1","3925"
"1552804_a_at","TIRAP","114609"
"1552806_a_at","SIGLEC10","89790"
"1552809_at","TM7SF3","51768"
"1552811_at","WFIKKN1","117166"
"1552812_a_at","SENP1","29843"
"1552813_at","KLF14","136259"
"1552816_at","NXNL2","158046"
"1552818_a_at","BRS3","680"
"1552819_at","LOC642852","642852"
"1552825_at","ZNF396","252884"
"1552826_at","SLC26A7","115111"
"1552828_at","SNX18","112574"
"1552829_at","ZKSCAN5","23660"
"1552830_at","FBXO39","162517"
"1552833_at","B3GNT6","192134"
"1552835_at","DENND1B","163486"
"1552836_at","ZNF619","285267"
"1552839_at","FAM71D","161142"
"1552842_at","HS6ST3","266722"
"1552843_at","SLC26A1","10861"
"1552846_s_at","RAB42","115273"
"1552848_a_at","PTCHD1","139411"
"1552849_at","M1AP","130951"
"1552851_at","ZSCAN4","201516"
"1552853_at","VWA5B1","127731"
"1552856_at","LINC00311","197196"
"1552857_a_at","HTR6","3362"
"1552858_at","MAGEB6","158809"
"1552860_at","TCEB3C","162699"
"1552863_a_at","CACNG6","59285"
"1552865_a_at","IFLTD1","160492"
"1552868_at","CIRBP-AS1","148046"
"1552870_s_at","AXDND1","126859"
"1552872_at","ASMTL-AS1","80161"
"1552875_a_at","CD200R1","131450"
"1552878_at","ATOH7","220202"
"1552880_at","SEC16B","89866"
"1552882_a_at","AMER1","139285"
"1552887_at","TBATA","219793"
"1552889_a_at","EXOC3L2","90332"
"1552890_a_at","CABP4","57010"
"1552892_at","TNFRSF13C","115650"
"1552893_at","CAMK2N2","94032"
"1552895_a_at","ANKRD30BP2","149992"
"1552897_a_at","KCNG3","170850"
"1552899_at","MGC34034","154089"
"1552902_a_at","FOXP2","93986"
"1552903_at","B4GALNT2","124872"
"1552906_at","FMR1NB","158521"
"1552908_at","GCSAML","148823"
"1552910_at","SIGLEC11","114132"
"1552912_a_at","IL23R","149233"
"1552913_at","MAGEB18","286514"
"1552914_a_at","CD276","80381"
"1552917_at","IFNL1","282618"
"1552919_at","C4orf36","132989"
"1552921_a_at","FIGNL1","63979"
"1552923_a_at","PITPNM2","57605"
"1552925_at","PCDH10","57575"
"1552927_at","TAB3","257397"
"1552930_at","MMEL1","79258"
"1552931_a_at","PDE8A","5151"
"1552932_at","NLRP6","171389"
"1552935_at","ZCCHC5","203430"
"1552937_s_at","ATRIP","84126"
"1552938_at","ZIC5","85416"
"1552939_at","HCG18","414777"
"1552940_at","TEDDM1","127670"
"1552942_at","LOC149373","149373"
"1552943_at","GABRG1","2565"
"1552944_a_at","PANX2","56666"
"1552946_at","ZNF114","163071"
"1552948_at","CCDC27","148870"
"1552950_at","C15orf26","161502"
"1552952_at","RBMY2FP","159162"
"1552953_a_at","NEUROD2","4761"
"1552954_at","ADH5","128"
"1552955_at","LINC00208","83655"
"1552957_at","DNAH6","1768"
"1552960_at","LRRC15","131578"
"1552964_at","TTC40","54777"
"1552965_a_at","B3GNT7","93010"
"1552967_at","ZNF645","158506"
"1552969_a_at","TXN","7295"
"1552971_at","SGCZ","137868"
"1552973_at","WNT9B","7484"
"1552974_at","CCBE1","147372"
"1552977_a_at","CNPY3","10695"
"1552978_a_at","SCAMP1","9522"
"1552979_at","LINC00471","151477"
"1552980_at","HAS3","3038"
"1552982_a_at","FGF4","2249"
"1552985_at","SLC30A8","169026"
"1552988_at","C11orf65","160140"
"1552990_at","FAM71E2","284418"
"1552991_at","OR5P2","120065"
"1552993_at","DYDC1","143241"
"1552995_at","IL27","246778"
"1552997_a_at","IQCF1","132141"
"1552998_at","DEFB125","245938"
"1552999_a_at","WFDC10B","280664"
"1553002_at","DEFB105A","245908"
"1553003_at","PKHD1","5314"
"1553004_at","PKD1L1","168507"
"1553006_at","GPR112","139378"
"1553007_a_at","TENM1","10178"
"1553009_s_at","REXO1L1","254958"
"1553011_at","TAF1L","138474"
"1553013_at","CNTNAP5","129684"
"1553015_a_at","RECQL4","9401"
"1553016_at","GPR113","165082"
"1553019_at","TMC2","117532"
"1553020_at","SMCR5","140771"
"1553021_s_at","BICD2","23299"
"1553022_at","ZIM3","114026"
"1553023_a_at","NOX5","79400"
"1553024_at","DAOA-AS1","282706"
"1553025_at","GPR126","57211"
"1553027_a_at","KLHL4","56062"
"1553028_at","GPR156","165829"
"1553030_a_at","SUOX","6821"
"1553031_at","GPR115","221393"
"1553032_at","IL31RA","133396"
"1553033_at","SYTL5","94122"
"1553034_at","SDCCAG8","10806"
"1553036_at","GPR111","222611"
"1553037_a_at","SYN2","6854"
"1553039_a_at","ASB10","136371"
"1553041_at","HTR3C","170572"
"1553042_a_at","NFKBID","84807"
"1553043_a_at","CD300LF","146722"
"1553044_at","GJA10","84694"
"1553045_at","WNT9A","7483"
"1553046_s_at","GAL3ST2","64090"
"1553048_a_at","PIP4K2B","8396"
"1553051_s_at","ODF3","113746"
"1553052_at","WFDC13","164237"
"1553053_at","LINC00521","256369"
"1553055_a_at","SLFN5","162394"
"1553057_at","SERPINB12","89777"
"1553058_at","GIPC3","126326"
"1553059_at","PGLYRP3","114771"
"1553060_at","PSKH2","85481"
"1553061_at","OR6W1P","89883"
"1553062_at","MOGAT1","116255"
"1553063_at","GPR78","27201"
"1553064_at","H1FOO","132243"
"1553066_at","TAAR9","134860"
"1553067_a_at","GNRHR2","114814"
"1553069_at","BRWD1-IT2","257357"
"1553070_a_at","MYOZ3","91977"
"1553072_at","BNIPL","149428"
"1553074_at","ASB11","140456"
"1553075_a_at","PPM1A","5494"
"1553077_at","SDR9C7","121214"
"1553078_at","OR5P3","120066"
"1553079_at","TRIM40","135644"
"1553080_at","CSN1S2AP","286828"
"1553081_at","WFDC12","128488"
"1553082_at","CRYGN","155051"
"1553083_at","TDP1","55775"
"1553084_at","STARD6","147323"
"1553086_at","C11orf40","143501"
"1553088_a_at","BCL2L11","10018"
"1553093_a_at","DEFB119","245932"
"1553094_at","TAC4","255061"
"1553099_at","TIGD1","200765"
"1553101_a_at","ALKBH5","54890"
"1553102_a_at","CCDC69","26112"
"1553103_at","NFX1","4799"
"1553105_s_at","DSG2","1829"
"1553106_at","C5orf24","134553"
"1553111_a_at","KBTBD6","89890"
"1553112_s_at","CDK8","1024"
"1553114_a_at","PTK6","5753"
"1553115_at","NKD1","85407"
"1553117_a_at","STK38","11329"
"1553118_at","THEM4","117145"
"1553120_at","CLSPN","63967"
"1553122_s_at","RBAK","57786"
"1553123_at","ALDH1L2","160428"
"1553126_a_at","SLC39A12","221074"
"1553127_a_at","RNF168","165918"
"1553129_at","EIF3K","27335"
"1553130_at","LOC652276","652276"
"1553131_a_at","GATA4","2626"
"1553132_a_at","TC2N","123036"
"1553133_at","C9orf72","203228"
"1553137_s_at","KLF11","8462"
"1553138_a_at","ANKLE1","126549"
"1553139_s_at","PLXNA3","55558"
"1553141_at","LACC1","144811"
"1553145_at","OSGEPL1-AS1","101409258"
"1553146_at","C3orf30","152405"
"1553147_at","RANBP3L","202151"
"1553148_a_at","SNX13","23161"
"1553150_at","KDM1B","221656"
"1553151_at","ATP6V0D2","245972"
"1553156_at","LHX4","89884"
"1553158_at","CEP19","84984"
"1553159_at","DNAH11","8701"
"1553163_at","ADPRHL1","113622"
"1553166_at","CDH24","64403"
"1553167_a_at","SEPSECS","51091"
"1553169_at","LRRN4","164312"
"1553172_at","ZNF777","27153"
"1553174_at","JPH2","57158"
"1553175_s_at","PDE5A","8654"
"1553176_at","SH2D1B","117157"
"1553178_a_at","SSTR3","6753"
"1553179_at","ADAMTS19","171019"
"1553181_at","DDX31","64794"
"1553183_at","UMODL1","89766"
"1553185_at","CHRM3","1131"
"1553186_x_at","PGM5P2","595135"
"1553188_s_at","PARD3B","117583"
"1553192_at","ZNF441","126068"
"1553194_at","NEGR1","257194"
"1553196_a_at","FCRL3","115352"
"1553197_at","DCAF4L2","138009"
"1553202_at","STOX1","219736"
"1553204_at","C20orf166-AS1","253868"
"1553207_at","ARL10","285598"
"1553208_s_at","MYNN","55892"
"1553209_at","RNFT2","84900"
"1553211_at","ANKFN1","162282"
"1553212_at","KRT78","196374"
"1553214_a_at","CCDC7","221016"
"1553216_at","ZNF41","7592"
"1553218_a_at","ZNF512","84450"
"1553219_a_at","AMMECR1","9949"
"1553220_at","FAM117B","150864"
"1553221_at","ZNF583","147949"
"1553222_at","OXER1","165140"
"1553225_s_at","ZNF75D","7626"
"1553226_at","LINC00052","145978"
"1553227_s_at","BRWD1","54014"
"1553228_at","CCDC89","220388"
"1553229_at","ZNF572","137209"
"1553232_at","RMDN2","151393"
"1553234_at","ADAMTS18","170692"
"1553235_at","PCDHAC1","56135"
"1553238_a_at","HIPK4","147746"
"1553239_at","FAM124A","220108"
"1553241_at","NKAIN3","286183"
"1553243_at","ITIH5","80760"
"1553244_at","FANCB","2187"
"1553246_a_at","POMK","84197"
"1553247_a_at","ZNF709","163051"
"1553248_at","TJP2","9414"
"1553249_at","SMC1B","27127"
"1553252_a_at","BRWD3","254065"
"1553253_at","ASB16","92591"
"1553254_at","MAGEE2","139599"
"1553255_at","ERVV-1","147664"
"1553257_at","GAL3ST3","89792"
"1553258_at","FLJ30679","146512"
"1553260_s_at","ALS2CR11","151254"
"1553262_a_at","UTS2R","2837"
"1553263_at","USH1G","124590"
"1553264_a_at","SYN1","6853"
"1553266_at","CNOT6L","246175"
"1553268_at","RHBDL3","162494"
"1553269_at","ZNF714","148206"
"1553272_at","SLC36A1","206358"
"1553274_a_at","SNRNP48","154007"
"1553276_at","ZNF560","147741"
"1553277_at","RTTN","25914"
"1553279_at","BTNL9","153579"
"1553280_at","PUS10","150962"
"1553281_at","PLCXD2","257068"
"1553282_at","C21orf128","150147"
"1553284_s_at","LMLN","89782"
"1553286_at","ZNF555","148254"
"1553288_a_at","NYAP1","222950"
"1553292_s_at","SGK494","124923"
"1553293_at","MRGPRX3","117195"
"1553295_at","ABCA13","154664"
"1553296_at","GPR128","84873"
"1553297_a_at","CSF3R","1441"
"1553298_at","C17orf77","146723"
"1553299_at","ATP13A5","344905"
"1553300_a_at","DGKH","160851"
