"","hgnc_symbol","entrez_id"
"1557881_at","ZNF32-AS3","414201"
"1557883_a_at","SLC8A1","6546"
"1557890_at","CCDC71L","168455"
"1557892_at","LINC01056","100144597"
"1557905_s_at","CD44","960"
"1557906_at","MUC12","10071"
"1557910_at","HSP90AB1","3326"
"1557915_s_at","GSTO1","9446"
"1557918_s_at","SLC16A1","6566"
"1557919_a_at","LINC00371","647166"
"1557921_s_at","SBF2-AS1","283104"
"1557924_s_at","ALPL","249"
"1557938_s_at","PTRF","284119"
"1557943_at","CNP","1267"
"1557944_s_at","TMX2-CTNND1","100528016"
"1557945_at","MS4A2","2206"
"1557948_at","PHLDB3","653583"
"1557950_at","NEMF","9147"
"1557954_at","TXLNG","55787"
"1557961_s_at","NECAB1","64168"
"1557965_at","MTERFD2","130916"
"1557970_s_at","RPS6KA2","6196"
"1557984_s_at","RPAP3","79657"
"1557985_s_at","CEP78","84131"
"1557987_at","IMPACT","55364"
"1558000_at","ARID5B","84159"
"1558007_s_at","LOC100506655","100506655"
"1558009_at","SLC1A2","6506"
"1558011_at","LOC441081","441081"
"1558014_s_at","FAR1","84188"
"1558021_at","LOC100996447","100996447"
"1558027_s_at","PRKAB2","5565"
"1558028_x_at","LINC00657","647979"
"1558034_s_at","CP","1356"
"1558041_a_at","KIAA0895L","653319"
"1558053_s_at","ADAMTS6","11174"
"1558062_at","FBXO10","26267"
"1558076_at","ANKRD32","84250"
"1558077_s_at","MDH1B","130752"
"1558080_s_at","DNAJC3","5611"
"1558081_at","SNORA65","26783"
"1558093_s_at","MATR3","9782"
"1558094_s_at","CCDC174","51244"
"1558097_at","PRR14L","253143"
"1558101_at","NFIA","4774"
"1558103_a_at","DEPDC5","9681"
"1558107_at","LOC283788","283788"
"1558117_s_at","USP31","57478"
"1558118_at","GGTLC1","92086"
"1558121_at","CSRNP3","80034"
"1558123_at","RASA4","10156"
"1558124_at","IYD","389434"
"1558128_at","EXPH5","23086"
"1558135_at","TAF11","6882"
"1558139_at","MGC12916","84815"
"1558140_at","PLXNA1","5361"
"1558142_at","TNRC6B","23112"
"1558144_at","MEG3","55384"
"1558147_a_at","BAIAP2-AS1","440465"
"1558152_at","C1orf226","400793"
"1558154_at","DIO2-AS1","100628307"
"1558166_at","MGC16275","85001"
"1558174_at","FAM43A","131583"
"1558177_at","ELOVL2-AS1","100506409"
"1558181_at","RABEP2","79874"
"1558185_at","LIMS3-LOC440895","100271835"
"1558186_s_at","TMEM5","10329"
"1558195_at","LINC00592","283404"
"1558199_at","P2RY8","286530"
"1558201_s_at","SLC4A1AP","22950"
"1558202_at","TRIL","9865"
"1558211_s_at","SRC","6714"
"1558212_at","FLJ35024","401491"
"1558214_s_at","CTNNA1","1495"
"1558215_s_at","UBTF","7343"
"1558216_at","AFAP1-AS1","84740"
"1558233_s_at","ATF1","466"
"1558234_at","KCNJ2-AS1","400617"
"1558238_at","TNRC18","84629"
"1558248_at","GOLM1","51280"
"1558249_s_at","STX16","8675"
"1558251_a_at","ZNF587","84914"
"1558254_s_at","SRPK2","6733"
"1558256_at","LINC00662","148189"
"1558275_at","PDLIM5","10611"
"1558277_at","ZNF740","283337"
"1558279_a_at","KDSR","2531"
"1558280_s_at","ARHGAP29","9411"
"1558281_a_at","TMEM184A","202915"
"1558290_a_at","PVT1","5820"
"1558292_s_at","PIGW","284098"
"1558295_a_at","PPFIA2","8499"
"1558300_at","EFCAB5","374786"
"1558304_s_at","TSEN54","283989"
"1558308_at","LEPR","3953"
"1558310_s_at","LOC100132356","100132356"
"1558315_s_at","HOOK3","84376"
"1558322_a_at","PAQR9","344838"
"1558329_at","TONSL","4796"
"1558331_at","KPNA1","3836"
"1558337_at","AFF1","4299"
"1558338_at","TRAPPC9","83696"
"1558340_at","DIXDC1","85458"
"1558346_at","FLJ45513","729220"
"1558378_a_at","AHNAK2","113146"
"1558381_a_at","LOC100506469","100506469"
"1558385_at","EPN2-AS1","100874018"
"1558387_at","UG0898H09","643763"
"1558390_at","ZNF599","148103"
"1558392_at","SYNE2","23224"
"1558393_at","KRT7","3855"
"1558394_s_at","UBE2M","9040"
"1558397_at","PECAM1","5175"
"1558398_at","ANKRD24","170961"
"1558401_at","SLC35A5","55032"
"1558404_at","LINC00622","644242"
"1558407_at","PLEKHG2","64857"
"1558411_at","EGFEM1P","93556"
"1558412_at","LOC113230","113230"
"1558414_at","FRRS1L","23732"
"1558420_at","C14orf180","400258"
"1558423_at","LINC00265","349114"
"1558426_x_at","ORAI2","80228"
"1558430_at","C4orf29","80167"
"1558431_at","NHLRC4","283948"
"1558445_at","CLUAP1","23059"
"1558450_at","A2M-AS1","144571"
"1558451_at","SYCP1","6847"
"1558458_at","GOLGA8A","23015"
"1558459_s_at","LOC401320","401320"
"1558473_at","ZNF22","7570"
"1558477_at","LOC100131496","100131496"
"1558480_at","TMCC1-AS1","100507032"
"1558483_at","LRRC27","80313"
"1558486_at","ZNF738","148203"
"1558489_at","SHANK2-AS1","100874198"
"1558493_at","CST13P","164380"
"1558504_at","ZNF664","144348"
"1558507_at","C1orf53","388722"
"1558515_at","GATAD2A","54815"
"1558517_s_at","LRRC8C","84230"
"1558519_at","ZBTB32","27033"
"1558522_at","ALS2","57679"
"1558525_at","GDPD3","79153"
"1558527_at","PAXIP1-AS2","100132707"
"1558530_at","LRTM2","654429"
"1558533_at","KRBA2","124751"
"1558540_s_at","SLC2A11","66035"
"1558544_at","C11orf84","144097"
"1558546_at","DNASE1","1773"
"1558549_s_at","VNN1","8876"
"1558552_s_at","C3orf55","152078"
"1558556_at","CAMK1","8536"
"1558557_at","RBBP9","10741"
"1558560_s_at","BLZF1","8548"
"1558561_at","HM13","81502"
"1558569_at","RAD1","5810"
"1558570_at","LOC145783","145783"
"1558573_at","MCTS1","28985"
"1558577_at","LOC148709","148709"
"1558579_at","PTGER4P2-CDK2AP2P2","442421"
"1558581_at","TEX22","647310"
"1558586_at","BCORP1","286554"
"1558587_at","LOC100996385","100996385"
"1558589_at","CYP4F35P","284233"
"1558590_at","DPH3","285381"
"1558594_at","TMEM253","643382"
"1558601_at","TUSC7","285194"
"1558603_at","PLGLB2","5342"
"1558606_s_at","ATAT1","79969"
"1558612_a_at","ATP1A4","480"
"1558619_at","FAM69B","138311"
"1558620_at","ZNF621","285268"
"1558623_at","LOC729121","729121"
"1558626_at","XKR9","389668"
"1558628_at","RBFADN","100506070"
"1558630_at","ARMCX5","64860"
"1558631_at","PPARA","5465"
"1558636_s_at","ADAMTS5","11096"
"1558641_at","SPATA24","202051"
"1558643_s_at","EDIL3","10085"
"1558647_at","SH3D19","152503"
"1558649_at","TRIM6","117854"
"1558651_at","LOC100507462","100507462"
"1558660_at","LINC00989","100506035"
"1558661_at","LOC100506207","100506207"
"1558662_s_at","BANK1","55024"
"1558666_at","PHEX-AS1","100873942"
"1558668_s_at","SPATA22","84690"
"1558672_at","XGPY2","100132596"
"1558673_s_at","ZNF77","58492"
"1558678_s_at","MALAT1","378938"
"1558679_at","C20orf112","140688"
"1558680_s_at","PDE1A","5136"
"1558682_at","HMGA2","8091"
"1558685_a_at","LOC158960","158960"
"1558688_at","LOC441461","441461"
"1558693_s_at","C1orf85","112770"
"1558695_at","SCAI","286205"
"1558697_a_at","KIAA0430","9665"
"1558698_at","ZNF264","9422"
"1558700_s_at","ZNF260","339324"
"1558702_at","TEX10","54881"
"1558711_at","FAM13A-AS1","285512"
"1558712_at","ZNF841","284371"
"1558714_at","SIAH3","283514"
"1558722_at","ZNF252P","286101"
"1558727_at","ZNF818P","390963"
"1558728_at","VPS9D1-AS1","100128881"
"1558733_at","ZBTB38","253461"
"1558739_at","MYSM1","114803"
"1558740_s_at","C14orf28","122525"
"1558742_at","CECR1","51816"
"1558743_at","ZNF620","253639"
"1558747_at","SMCHD1","23347"
"1558750_a_at","LOC100288637","100288637"
"1558754_at","ZNF763","284390"
"1558756_at","ATP5G3","518"
"1558758_s_at","CMBL","134147"
"1558761_a_at","C10orf82","143379"
"1558768_at","DNAH1","25981"
"1558770_a_at","PIK3R6","146850"
"1558773_s_at","RANBP10","57610"
"1558775_s_at","NSMAF","8439"
"1558777_at","LOC285033","285033"
"1558782_a_at","LOC100130557","100130557"
"1558790_s_at","ZNF252P-AS1","286103"
"1558791_at","LOC286467","286467"
"1558792_x_at","RNF41","10193"
"1558793_at","FRY-AS1","100507099"
"1558794_at","LNX1-AS2","100873955"
"1558801_at","NNT-AS1","100652772"
"1558807_at","ATAD2B","54454"
"1558813_at","TMED5","50999"
"1558816_at","CNBP","7555"
"1558820_a_at","CCDC178","374864"
"1558822_at","UBA52","7311"
"1558825_s_at","NBPF3","84224"
"1558826_at","ZNF831","128611"
"1558834_s_at","AKNAD1","254268"
"1558839_at","MAPKBP1","23005"
"1558845_at","PARD6G","84552"
"1558846_at","PNLIPRP3","119548"
"1558847_at","LINC00565","100861555"
"1558848_at","NUDT22","84304"
"1558849_at","LINC00908","284276"
"1558856_at","DMRTA2","63950"
"1558859_at","KIAA1143","57456"
"1558871_at","TINAGL1","64129"
"1558875_at","SREBF1","6720"
"1558881_at","LINC00924","145820"
"1558882_at","HTATSF1P2","401233"
"1558887_at","ZNF816-ZNF321P","100529240"
"1558897_at","PLK5","126520"
"1558899_s_at","RGMB-AS1","503569"
"1558906_a_at","OSER1-AS1","100505783"
"1558919_a_at","SEC23IP","11196"
"1558920_at","SLC8A1-AS1","100128590"
"1558922_at","FAM57B","83723"
"1558924_s_at","CLIP1","6249"
"1558930_at","LINC00460","728192"
"1558931_at","LRRC16A","55604"
"1558941_at","ZNF704","619279"
"1558942_at","ZNF765","91661"
"1558944_at","FAXDC2","10826"
"1558945_s_at","TLR1","7096"
"1558947_at","OIP5","11339"
"1558950_at","PTENP1-AS","101243555"
"1558953_s_at","CEP164","22897"
"1558954_at","SNHG9","735301"
"1558956_s_at","IFT80","57560"
"1558957_s_at","CEPT1","10390"
"1558964_at","FAT3","120114"
"1558965_at","LMTK2","22853"
"1558969_a_at","RPL32P3","132241"
"1558971_at","THEMIS","387357"
"1558977_at","LOC100130992","100130992"
"1558982_at","TEKT4P2","100132288"
"1558999_x_at","LOC283922","283922"
"1559002_at","MORF4L2-AS1","340544"
"1559003_a_at","CCDC163P","126661"
"1559005_s_at","CNTLN","54875"
"1559006_at","CBX3","11335"
"1559017_at","LOC100507351","100507351"
"1559018_at","TPM3","7170"
"1559020_a_at","DHRS1","115817"
"1559022_at","EFCAB14-AS1","100130197"
"1559025_at","CXCR2","3579"
"1559026_at","PPP1R26-AS1","100506599"
"1559033_at","LINC01018","255167"
"1559035_a_at","LOC100507377","100507377"
"1559038_at","EPSTI1","94240"
"1559045_at","LOC100128288","100128288"
"1559048_at","OSR2","116039"
"1559050_at","HCG27","253018"
"1559051_s_at","MB21D1","115004"
"1559052_s_at","PAK2","5062"
"1559054_a_at","BSPRY","54836"
"1559057_at","ALG13","79868"
"1559061_at","CACNA1G-AS1","253962"
"1559065_a_at","CLEC4G","339390"
"1559069_at","ST20-MTHFS","100528021"
"1559072_a_at","ELFN2","114794"
"1559075_s_at","BAHCC1","57597"
"1559083_x_at","ZDHHC3","51304"
"1559086_at","MAF","4094"
"1559097_at","CYP20A1","57404"
"1559103_s_at","ZNF487","642819"
"1559116_s_at","EPHA4","2043"
"1559126_at","RPL34","6164"
"1559127_x_at","C12orf60","144608"
"1559129_a_at","MIRLET7DHG","158257"
"1559132_at","LOC100133315","100133315"
"1559136_s_at","LINC00894","100272228"
"1559138_a_at","SPATA19","219938"
"1559140_at","FAM87A","157693"
"1559144_x_at","LINC00910","100130581"
"1559156_at","NAV2-AS5","100874012"
"1559166_at","LOC100506551","100506551"
"1559167_x_at","MPV17L","255027"
"1559170_at","ANKRD20A9P","284232"
"1559194_a_at","CLEC4GP1","440508"
"1559201_a_at","PPIP5K2","23262"
"1559205_s_at","STARD4-AS1","100505678"
"1559206_at","ARNTL2","56938"
"1559208_at","ST7-OT4","338069"
"1559220_at","RASGRP4","115727"
"1559221_at","XRCC4","7518"
"1559224_at","LCE1E","353135"
"1559227_s_at","VHL","7428"
"1559239_s_at","ACAT1","38"
"1559240_at","PDE11A","50940"
"1559249_at","PCDHB4","56131"
"1559254_at","LINC00162","378825"
"1559258_a_at","CXorf61","203413"
"1559259_at","LOC100129917","100129917"
"1559263_s_at","ZC3H12D","340152"
"1559264_at","LOC286190","286190"
"1559270_at","ZFHX4","79776"
"1559274_at","ZNF732","654254"
"1559276_at","LOC728606","728606"
"1559280_a_at","LOC100506013","100506013"
"1559282_at","DNAH12","201625"
"1559283_a_at","CNPY1","285888"
"1559284_at","GINS4","84296"
"1559293_x_at","LINC00032","158035"
"1559296_at","ADAMTS9-AS2","100507098"
"1559297_at","C1QTNF6","114904"
"1559298_a_at","SPATA41","388182"
"1559303_at","LOC100505835","100505835"
"1559311_at","EHMT1-IT1","643210"
"1559326_at","GNAS","2778"
"1559332_at","CRIM1","51232"
"1559333_at","C1orf141","400757"
"1559336_at","OLAH","55301"
"1559343_at","UBE3A","7337"
"1559348_a_at","LOC100129213","100129213"
"1559351_at","SLC16A9","220963"
"1559352_a_at","MAFG-AS1","92659"
"1559355_at","NXPH2","11249"
"1559361_at","MACC1","346389"
"1559363_at","LOC283587","283587"
"1559376_at","ATP1A1OS","84852"
"1559384_at","ZNF507","22847"
"1559390_a_at","C1orf227","149643"
"1559392_s_at","SYT7","9066"
"1559394_a_at","KCNN2","3781"
"1559397_s_at","PRR14","78994"
"1559400_s_at","PAPPA","5069"
"1559403_at","HMGN3-AS1","100288198"
"1559405_a_at","TRPV6","55503"
"1559406_at","ANKRD18A","253650"
"1559409_a_at","CC2D2A","57545"
"1559412_at","LINC00478","388815"
"1559420_x_at","CCDC170","80129"
"1559426_at","SMURF1","57154"
"1559427_at","YIPF7","285525"
"1559429_a_at","C3orf43","255798"
"1559433_at","LOC100129316","100129316"
"1559441_s_at","FLJ38576","651430"
"1559443_s_at","IL21R-AS1","283888"
"1559449_a_at","LOC100132815","100132815"
"1559467_at","CEP85","64793"
"1559469_s_at","SIPA1L2","57568"
"1559470_at","D21S2088E","266917"
"1559474_at","SPEG","10290"
"1559477_s_at","MEIS1","4211"
"1559479_at","LOC100379224","100379224"
"1559483_at","ZNF662","389114"
"1559485_at","ATG2B","55102"
"1559488_at","LOC257358","257358"
"1559497_at","MBTD1","54799"
"1559502_s_at","LRRC25","126364"
"1559503_a_at","LOC441666","441666"
"1559507_at","LOC100130357","100130357"
"1559510_at","LINC00630","100287765"
"1559514_at","LOC100132077","100132077"
"1559522_at","LOC100505918","100505918"
"1559523_at","ERCC1","2067"
"1559529_at","TCL6","27004"
"1559530_at","BLOC1S3","388552"
"1559532_at","ARIH2OS","646450"
"1559542_a_at","SP4","6671"
"1559543_at","LINC00441","100862704"
"1559548_at","ACVR2B","93"
"1559559_at","SPATA31E1","286234"
"1559563_at","BPGM","669"
"1559567_at","PRDM11","56981"
"1559573_at","LOC100506229","100506229"
"1559577_at","ZNF850","342892"
"1559579_at","LINC00927","283688"
"1559583_at","MSRB1","51734"
"1559584_a_at","C16orf54","283897"
"1559585_at","LOC100505715","100505715"
"1559590_at","CHDH","55349"
"1559595_at","LOC728084","728084"
"1559601_at","KIAA2018","205717"
"1559603_at","GPR12","2835"
"1559606_at","GBP6","163351"
"1559611_at","TMEM75","641384"
"1559627_at","C7orf71","285941"
"1559631_at","SNORA18","677805"
"1559635_at","KHDRBS2","202559"
"1559638_at","C1orf200","644997"
"1559640_at","RYR2","6262"
"1559645_at","LINC00184","100302691"
"1559650_at","PAMR1","25891"
"1559651_at","CSNK1A1P1","161635"
"1559652_at","SPATS2L","26010"
"1559655_at","MAMDC2-AS1","100507244"
"1559661_at","TENM3","55714"
"1559663_at","ACPP","55"
"1559664_at","DIRC2","84925"
"1559665_at","UGT3A2","167127"
"1559672_a_at","CCDC171","203238"
"1559674_at","ADIPOQ-AS1","100874095"
"1559676_a_at","GPR179","440435"
"1559678_s_at","LOC100652791","100652791"
"1559680_at","WIPI1","55062"
"1559681_a_at","TRIM16","10626"
"1559683_at","ANAPC16","119504"
"1559687_at","TMEM221","100130519"
"1559691_at","AGO3","192669"
"1559697_a_at","MIOS","54468"
"1559701_s_at","NDST2","8509"
"1559702_at","C12orf40","283461"
"1559705_s_at","PHKA2","5256"
"1559709_at","ZNF138","7697"
"1559712_at","LINC00689","154822"
"1559714_at","RILP","83547"
"1559715_at","LOC100507391","100507391"
"1559724_at","TRAF3IP2","10758"
"1559728_at","ZBTB40","9923"
"1559731_x_at","DLEU2","8847"
"1559746_a_at","ZNF718","255403"
"1559748_at","ADAMTSL3","57188"
"1559766_at","ALDH1L1-AS2","100862662"
"1559777_at","LOC731424","731424"
"1559780_at","ATAD3C","219293"
"1559790_at","ZNF440","126070"
"1559808_at","GPI","2821"
"1559814_at","DNAJC6","9829"
"1559826_a_at","LINC00960","401074"
"1559828_at","FAM170B","170370"
"1559835_at","SHANK2","22941"
"1559840_s_at","TBX18","9096"
"1559848_at","PDE3B","5140"
"1559864_at","LCN6","158062"
"1559865_at","FRMD3","257019"
"1559870_at","AIPL1","23746"
"1559880_at","LZTS1-AS1","100874051"
"1559882_at","CIITA","4261"
"1559883_s_at","SAMHD1","25939"
"1559884_at","CDKN2B-AS1","100048912"
"1559893_at","GPATCH11","253635"
"1559895_x_at","ARHGAP1","392"
"1559917_a_at","CBR3-AS1","100506428"
"1559920_a_at","CECR5-AS1","100130717"
"1559925_s_at","CHML","1122"
"1559928_at","MARCH6","10299"
"1559930_at","LOC100507156","100507156"
"1559940_s_at","MACROD2-AS1","100379174"
"1559942_at","MDFIC","29969"
"1559946_s_at","RUVBL2","10856"
"1559948_at","CACNA1G","8913"
"1559950_at","DEFB109P1B","641517"
"1559954_s_at","DDX42","11325"
"1559960_x_at","SYCE1L","100130958"
"1559964_at","DYRK2","8445"
"1559965_at","ZFHX4-AS1","100192378"
"1559975_at","BTG1","694"
"1559976_at","LOC100506314","100506314"
"1559977_a_at","SLC25A34","284723"
"1559980_at","ZNF7","7553"
"1559986_at","LIFR-AS1","100506495"
"1559988_at","ZNF483","158399"
"1559992_a_at","LINC00645","100505967"
"1560001_at","LOC729732","729732"
"1560006_a_at","LOC646762","646762"
"1560010_a_at","SATB2-AS1","150538"
"1560011_at","SCNN1D","6339"
"1560012_at","KIAA2022","340533"
"1560013_at","OR7D2","162998"
"1560017_at","TMTC3","160418"
"1560020_at","DNAJC13","23317"
"1560021_at","RPS20","6224"
"1560025_at","EMB","133418"
"1560030_at","LOC283692","283692"
"1560031_at","LOC440704","440704"
"1560033_at","KIAA1456","57604"
"1560035_at","CXXC11","285093"
"1560038_at","LOC100506071","100506071"
"1560059_at","VPS37C","55048"
"1560065_at","PAIP2","51247"
"1560074_at","PRKCA","5578"
"1560078_at","LAMA3","3909"
"1560080_at","POLQ","10721"
"1560089_at","LOC100289019","100289019"
"1560091_a_at","PHF21B","112885"
"1560097_at","ZKSCAN8","7745"
"1560099_at","LOC440416","440416"
"1560100_at","DLX1","1745"
"1560104_at","PRKD3","23683"
"1560105_at","PNPT1","87178"
"1560107_at","VAC14-AS1","100130894"
"1560109_s_at","MLC1","23209"
"1560111_at","UPK2","7379"
"1560118_at","LOC389765","389765"
"1560129_at","RRAD","6236"
"1560130_at","C1orf145","574407"
"1560135_at","LAMA2","3908"
"1560136_at","ARL5C","390790"
"1560137_at","OR14I1","401994"
"1560142_at","GRIK2","2898"
"1560145_at","LOC100506688","100506688"
"1560147_at","LOC100133091","100133091"
"1560156_at","RASAL2-AS1","100302401"
"1560172_at","GPR56","9289"
"1560176_s_at","PPP4R1L","55370"
"1560181_at","LDLRAD4-AS1","100288122"
"1560185_at","RMDN1","51115"
"1560198_at","LINC00523","283601"
"1560199_x_at","ANKS4B","257629"
"1560201_at","ZNF713","349075"
"1560202_at","CSTF3-AS1","338739"
"1560204_at","CKAP2L","150468"
"1560207_at","RAD21-AS1","644660"
"1560209_at","PGM2L1","283209"
"1560213_at","ZNRD1-AS1","80862"
"1560224_at","AHCTF1","25909"
"1560225_at","AAK1","22848"
"1560226_at","MYH15","22989"
"1560228_at","SNAI3","333929"
"1560238_at","LNX1","84708"
"1560241_at","ZNF827","152485"
"1560253_at","LHX9","56956"
"1560255_at","SCCPDH","51097"
"1560257_at","GSPT2","23708"
"1560258_a_at","FAM83H-AS1","100128338"
"1560260_at","LOC285593","285593"
"1560263_at","SGCB","6443"
"1560271_at","KIAA0947","23379"
"1560276_at","C12orf80","283403"
"1560278_at","LOC221122","221122"
"1560281_a_at","TMEM95","339168"
"1560291_at","RIPPLY1","92129"
"1560292_a_at","TMCO4","255104"
"1560298_at","XPO4","64328"
"1560303_at","FKBP4","2288"
"1560316_s_at","GLCCI1","113263"
"1560317_s_at","HIP1","3092"
"1560320_a_at","C1RL-AS1","283314"
"1560332_at","LINC01024","100505636"
"1560337_at","LOC286184","286184"
"1560339_s_at","NAP1L4","4676"
"1560352_at","CASC9","101805492"
"1560354_at","LAX1","54900"
"1560373_a_at","PRRG1","5638"
"1560380_at","CTSLP2","1517"
"1560384_a_at","GATA5","140628"
"1560385_x_at","MRS2P2","729633"
"1560391_at","UBOX5","22888"
"1560395_at","LOC100506083","100506083"
"1560402_at","GAS5","60674"
"1560404_a_at","DPH6","89978"
"1560405_at","LYRM7","90624"
"1560409_at","ZNF767","79970"
"1560412_at","LOC100507506","100507506"
"1560413_at","LOC339788","339788"
"1560419_at","SYT15","83849"
"1560429_at","ZNF438","220929"
"1560430_at","NKPD1","284353"
"1560431_at","FRG1","2483"
"1560432_at","CLRN1-AS1","116933"
"1560433_at","LOC440300","440300"
"1560434_x_at","FCF1","51077"
"1560439_at","LINGO3","645191"
"1560443_at","CXorf38","159013"
"1560448_at","PRR7-AS1","340037"
"1560455_at","LOC339166","339166"
"1560456_at","PAQR8","85315"
"1560458_s_at","CAPS2","84698"
"1560464_at","LOC401242","401242"
"1560472_at","LINC00705","338588"
"1560476_at","HMG20A","10363"
"1560477_a_at","SAMD11","148398"
"1560483_at","PFKFB2","5208"
"1560489_at","CYP4F43P","646802"
"1560493_a_at","CPXCR1","53336"
"1560499_at","C14orf64","388011"
"1560507_at","AWAT1","158833"
"1560511_at","LOC100129620","100129620"
"1560514_at","LINC00636","285205"
"1560520_at","LOC100506178","100506178"
"1560522_at","DLGAP1-AS3","201477"
"1560524_at","GRAPL","400581"
"1560525_at","CASP10","843"
"1560531_at","LCE1B","353132"
"1560537_at","FGF13-AS1","100129662"
"1560540_x_at","C17orf75","64149"
"1560542_at","NOS1","4842"
"1560543_at","TMEM156","80008"
"1560550_at","SNORD111B","100113402"
"1560573_at","LINC00944","387895"
"1560579_s_at","LOC100506392","100506392"
"1560587_s_at","PRDX5","25824"
"1560588_at","PSMB3","5691"
"1560595_at","LOC100128993","100128993"
"1560604_at","GRIK3","2899"
"1560619_at","LINC00935","255411"
"1560633_a_at","C21orf91-OT1","246312"
"1560638_a_at","LOC100506603","100506603"
"1560642_at","ESPNP","284729"
"1560646_at","METTL21EP","121952"
"1560647_at","TSPYL1","7259"
"1560654_at","FLJ37201","283011"
"1560657_at","KCNJ11","3767"
"1560673_at","PLK1S1","55857"
"1560680_at","HNRNPA1P10","664709"
"1560686_at","ITGAD","3681"
"1560692_at","LOC285878","285878"
"1560694_at","C1orf122","127687"
"1560697_at","TRHDE-AS1","283392"
"1560707_at","LOC283856","283856"
"1560712_at","TMPRSS11B","132724"
"1560714_at","FLJ37035","399821"
"1560715_at","LRRC58","116064"
"1560721_at","NME7","29922"
"1560723_at","LOC283731","283731"
"1560727_at","HEATR4","399671"
"1560734_at","OR4N4","283694"
"1560746_at","NEXN-AS1","374987"
"1560750_at","ZNF692","55657"
"1560753_at","EFTUD1P1","648809"
"1560754_at","PLCH1","23007"
"1560755_at","CLCN5","1184"
"1560756_at","ZMIZ1-AS1","283050"
"1560757_at","FAT1","2195"
"1560762_at","LINC00996","285972"
"1560767_at","HCG22","285834"
"1560770_at","IMPG2","50939"
"1560775_at","RBM41","55285"
"1560776_at","IDO1","3620"
"1560779_a_at","ZNF568","374900"
"1560790_at","LOC442132","442132"
"1560797_s_at","TMLHE-AS1","100507404"
"1560806_at","TISP43","150527"
"1560814_a_at","MRPL42P5","359821"
"1560817_at","MOV10","4343"
"1560823_at","LOC340017","340017"
"1560827_at","MGC2752","65996"
"1560830_a_at","LOC147646","147646"
"1560832_at","LINC01029","101927715"
"1560833_at","LOC643648","643648"
"1560834_a_at","RMST","196475"
"1560836_at","PHACTR3","116154"
"1560838_at","PRPF4B","8899"
"1560842_a_at","TEX26-AS1","100507064"
"1560850_at","DSEL","92126"
"1560851_at","LINC00619","414260"
"1560854_s_at","ZNF107","51427"
"1560855_at","C17orf85","55421"
"1560856_at","ARHGAP26-AS1","100874239"
"1560864_at","CX3CR1","1524"
"1560871_a_at","CCKBR","887"
"1560874_at","CAT","847"
"1560881_a_at","LINC00112","54089"
"1560887_a_at","OCLN","100506658"
"1560890_at","ZMYM5","9205"
"1560897_a_at","KRTAP10-11","386678"
"1560901_at","CROCCP2","84809"
"1560903_at","ZBTB4","57659"
"1560911_at","LOC100133461","100133461"
"1560912_at","LOC389043","389043"
"1560916_a_at","DPY19L1","23333"
"1560920_s_at","ZBTB39","9880"
"1560921_at","ZNF169","169841"
"1560929_at","KCNE3","10008"
"1560932_at","FLJ31356","403150"
"1560939_at","PCOLCE-AS1","100129845"
"1560940_at","SACS-AS1","100506680"
"1560946_at","SPIDR","23514"
"1560954_at","ATP8B1","5205"
"1560958_s_at","FLJ42102","399923"
"1560966_at","OAS3","4940"
"1560973_a_at","RBM45","129831"
"1560977_a_at","BCL2L13","23786"
"1560987_a_at","CYP2C19","1557"
"1560990_a_at","MMP3","4314"
"1560992_at","UBE2K","3093"
"1560999_a_at","ABLIM1","3983"
"1561012_at","NOC3L","64318"
"1561018_at","ERG","2078"
"1561021_at","RAD52","5893"
"1561030_at","NFIL3","4783"
"1561033_at","DLX6-AS1","285987"
"1561041_at","TNRC6C","57690"
"1561044_at","IGLL3P","91353"
"1561050_a_at","C14orf166B","145497"
"1561052_s_at","KIF13B","23303"
"1561059_a_at","LINC00691","152024"
"1561061_at","LOC729506","729506"
"1561085_at","LOC153910","153910"
"1561086_at","AK8","158067"
"1561090_at","LOC400654","400654"
"1561093_at","ZNF471","57573"
"1561096_at","LOC285419","285419"
"1561098_at","LINC00616","641365"
"1561099_at","SUGP2","10147"
"1561101_at","JAKMIP2-AS1","153469"
"1561106_at","LINC00271","100131814"
"1561107_at","MGST3","4259"
"1561114_a_at","DEPDC4","120863"
"1561116_at","ZNF391","346157"
"1561121_at","LINC00327","100506697"
"1561126_at","ZNF285","26974"
"1561127_at","ADARB2-AS1","642394"
"1561129_at","GOLGA8F","100132565"
"1561134_at","C14orf132","56967"
"1561141_at","PATE4","399968"
"1561149_at","CDH1","999"
"1561151_a_at","LPAR1","1902"
"1561154_at","CYP1A2","1544"
"1561161_at","FLJ43315","644316"
"1561164_at","LINC00261","140828"
"1561165_a_at","DEFB108B","245911"
"1561170_at","LOC440243","440243"
"1561171_a_at","GOLGA6L1","283767"
"1561177_at","DIAPH3","81624"
"1561179_s_at","AMZ1","155185"
"1561185_at","SMIM3","85027"
"1561187_at","BCHE","590"
"1561197_at","LOC442028","442028"
"1561198_at","LOC100506127","100506127"
"1561205_at","C10orf32-AS3MT","100528007"
"1561207_at","LIPG","9388"
"1561210_at","EIF2S3","1968"
"1561214_at","MAVS","57506"
"1561215_at","ANKRD17","26057"
"1561219_x_at","RNF103-CHMP3","100526767"
"1561222_at","LINC00485","283432"
"1561223_at","LEO1","123169"
"1561226_at","ATRNL1","26033"
"1561228_at","LOC100506122","100506122"
